Team_Name,Opp_Name,Date,Game_Round,Team_Outcome,Team_Goals,Team_Points,Team_Score,Opp_Goals,Opp_Points,Opp_Score,Venue
LONDON,LEITRIM,24/03/2002,"NFL, DIV 2  SA",LOSS,0,8,8,1,16,19,CARRICK ON SHANNON
LAOIS,MONAGHAN,24/03/2002,"NFL, DIV 2  SB",WIN,2,16,22,1,11,14,UNKNOWN
MEATH,WEXFORD,24/03/2002,"NFL, DIV 2  SB",WIN,2,7,13,1,9,12,WEXFORD PARK
TIPPERARY,LONGFORD,24/03/2002,"NFL, DIV 2  SB",WIN,1,12,15,1,11,14,PEARSE PARK
TYRONE,CORK,31/03/2002,"NFL, DIV 1  SA",LOSS,1,15,18,2,13,19,PAIRC UI CHAOIMH
SLIGO,CAVAN,31/03/2002,"NFL, DIV 1  SB",LOSS,0,11,11,1,10,13,MARKIEVICZ PARK
DOWN,DERRY,31/03/2002,"NFL, DIV 1  SB",LOSS,1,9,12,1,17,20,UNKNOWN
FERMANAGH,MAYO,31/03/2002,"NFL, DIV 1  SB",WIN,2,9,15,1,9,12,BREWSTER PARK
GALWAY,DUBLIN,31/03/2002,"NFL, DIV 1  SA",TIE,1,12,15,1,12,15,ST JARLATHS PARK
CLARE,KILDARE,31/03/2002,"NFL, DIV 1  SB",LOSS,2,6,12,2,12,18,NEWBRIDGE
WESTMEATH,OFFALY,31/03/2002,"NFL, DIV 1  SA",LOSS,0,12,12,1,11,14,TULLAMORE
ROSCOMMON,DONEGAL,31/03/2002,"NFL, DIV 1  SA",WIN,2,13,19,1,12,15,UNKNOWN
LONDON,ARMAGH,31/03/2002,"NFL, DIV 2  SA",LOSS,0,5,5,4,17,29,UNKNOWN
CARLOW,WEXFORD,31/03/2002,"NFL, DIV 2  SB",WIN,2,11,17,0,12,12,DR CULLEN PARK
KERRY,LOUTH,31/03/2002,"NFL, DIV 2  SA",LOSS,2,12,18,1,18,21,ARDEE
WICKLOW,LIMERICK,31/03/2002,"NFL, DIV 2  SA",LOSS,0,6,6,0,13,13,AUGHRIM
LEITRIM,ANTRIM,31/03/2002,"NFL, DIV 2  SA",WIN,1,11,14,0,7,7,CLOONE
WATERFORD,LAOIS,31/03/2002,"NFL, DIV 2  SB",LOSS,1,12,15,2,12,18,UNKNOWN
MEATH,LONGFORD,31/03/2002,"NFL, DIV 2  SB",WIN,1,11,14,1,7,10,PAIRC TAILTEAN
